author_id;author_name
507;Nifty Prints
514;Dave Thompson
515;David Leeming
516;Lance Derrick
519;Christopher Hallinan
520;Carol Ballard
523;Rebecca Danger
524;Nikolaos Voulgaris
525;Mark Brassington
526;Fernando Doglio
528;Gerard Delanty
529;Jean-Christophe Carbonel
532;Rand McNally
533;Ryan Lister
534;Randy Avera
535;Ian Jack
536;Paul N. Lazarus
539;Suse Llc
540;Blood Sugar Diabetic Glucos Record Book
541;Cynthia O'malley
542;MUDPUPPY
547;Thomas Lee
548;Pete Helgren
549;Metropolitan Museum of Art
550;Princeton Architectural Press
551;Barbie
555;Jean Sellier
556;Balaji Varanasi
558;Wayne Perry
559;Amy Knapp
560;Nathalie Hertz
561;New York (State) State Commission of Hi
564;Bernhard Thalheim
566;Edgar Danilo Dominguez Vera
567;Tokidoki
568;Various
569;Stefan Timm
570;Siegfried Pirker
571;Kevin L. Sapp
572;United States
573;Labor Dept (U S ) Office of Disability Employment Policy
574;Sarah Neuburger
575;Bel Ami
576;Debbie Powell
577;Leslie Cuthbert
580;Sam Key
581;Rick Bennette
582;Janet McDonnell
583;Penton Overseas Inc
585;Lonely Planet
586;Periplus Editors
587;Lisa Bailey
588;Gregory a Boyd J D
589;Stanley Lieber
597;Adam Chappell
598;John A. Vince
599;Friends of Type
600;Antony Duff
601;Dan Smith
602;Craig Newport
605;M Breslend
606;Carl I Wheat
609;Adam J Kurtz
611;William Davis
617;Andrew Frank
618;Learn Computer Hacking In Deep
619;Richard H Shrapnel
620;Penny Holland
621;Peter Holland
622;Sandra Fredman
623;Pierce Stevens Hamilton
624;J. E. Cooling
625;It Administrator Geek Journals
626;Sysadmin and Ne Administrators Journals
628;Galison
629;Albert G. Smith
635;Robert Southey
637;Journals Factory
638;Deena Cunningham
646;Cooper Hewitt
647;Don Caston
648;Helen Xanthaki
649;National Geographic Maps
650;Gunnar Lindenblatt
651;Edward Selah Frisbee
652;Dover
653;Barbara Kane
654;Jenny Bradford
655;Adolphe Laurent Joanne
656;Norbert Glaser
659;Toby Walsh
661;Magnus Fredrikson
662;Andrea Barham
663;Morgan
664;Transport Canada-Transport Dangerous Goo
666;Alba C Piersel
667;Dorothy Whitelock
670;Leon R. Kass
671;Health Education England
672;Tim Knowles
675;Julia Cameron
676;Lisa Nola
677;Xabier K Fernao
678;Mark James
679;Renate Beyer
680;P. S. Gill
683;Laura Lee
684;Frank Albert
685;N a
686;Toni Carmine Salerno
691;Michael Zohary
692;Giuseppe Castagna
695;Gabriele Puppis
696;Johana G Anderton
697;Kyoko Yoneyama
699;Andrew D. Gordon
707;A N Gilbey
708;Patricia N. Schoonmaker
709;Ginny Wacker Guido
710;Pusukuri Kishore Kumar
718;Lark Crafts
719;Don Hubbard
720;David Turnock
721;Barbara Clemens
722;Silvia Martin
723;Allan Hirt
726;Bryan P. Cafferky
727;Editors of Motorbooks
733;Adiel Sherwood
734;Divine Stationaries
737;Sio-Iong Ao
738;Xu Huang
739;Joseph V Rees
740;Leslie Mosier
741;Elisabeth A. Doherty
742;Justin Driver
743;J. S. Milbourne
745;Rudrapatna K. Shyamasundar
755;Broadstreet Publishing
756;Rosemary Drysdale
757;Hector Macqueen
758;Mohamad Darhaman
759;David V Neff
760;Olbermann Jordans
761;Varney A. Kanneh
763;Sarah McMenemy
764;Sheperd Paine
767;Abdelkader Hameurlain
778;Scott Gallagher
779;Rupu Xiao
780;Happy Menocal
781;Muncie Hender
782;Nadine Strossen
783;Savu Stefan
784;Daniel Hall
790;Edward J Bergin
791;Rachelle Charman
792;Linda Dillow
793;Faith Eaton
799;Jenni Lynn Colson
800;Kate Schatz
801;Elizabeth Dell
805;Qc  Peter Andrews
806;Dmitry Vostokov
810;Institute for the Advanced Study of Human Sexuality
811;Michael J. Lorden
812;Inlander
813;Millie Marotta
814;Leslie L Hunt
819;Farouk Gomaa
822;JR.  Jr Philip M Tierno
823;Tamara Thompson
824;Christine Van Tuyl
825;Carlo Stanga
826;Whitman Publishing
827;John Murphy
828;Michael Buehler
835;Linda Brand
836;Ppi
837;Michael Alex
838;Whitecap Books
839;Colin Dayan
840;A.J. Christopher
841;Fearon
842;Planners for Everyone
843;Peter Fretwell
844;Sergio Mazitto
